Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,como tirar parafina da lycra de surf,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,como trocar de roupa na praia sem constrangimento,,,,,,,,,,,,,,,,
br,como usar poncho de surf,,,,,,,,,,,,,,,,
br,como vestir a lycra de surf,,,,,,,,,,,,,,,,
br,como vestir roupa de neoprene,,,,,,20,0,0.00,0.33,,,,"0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40",,,
br,comprar bermuda de surf,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,comprar biquini online,,,,,,20,0,0.38,1.00,,,,"0.07,0.07,0.11,0.11,0.11,0.07,0.11,0.07,0.15,0.07,0.07,0.07",,,
br,comprar lycra de surf,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,comprar maio de surf,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,comprar poncho de surf,,,,,,,,,,,,,,,,
br,comprar roupa de neoprene,,,,,,20,0,0.00,0.86,,,,"0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,,
br,comprar saída de praia,,,,,,50,0,0.10,1.00,,,,"0.27,0.09,0.27,0.27,0.36,0.45,0.45,1.00,0.63,0.45,0.18,0.27",,,
br,comprar use zero hora,,,,,,,,,,,,,,,,
br,conjunto de biquini,,,,,,320,21,0.11,1.00,182,Commercial,"Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel, People Also Ask","0.05,0.07,0.07,0.13,0.13,0.11,0.16,0.16,0.16,0.11,0.11,0.05",20,,
br,conjunto de praia feminino,,,,,,880,29,0.08,1.00,223,"Informational, Commercial","Video, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.30,0.30,0.36,0.45,0.67,1.00,0.76,1.00,1.00,0.45,0.45,0.36",20,,
br,conjunto praia feminino,,,,,,880,24,0.15,1.00,198,Commercial,"Popular Products, Related Searches, Image Pack, Site Links, Video, Image","0.16,0.16,0.31,0.37,0.52,0.52,0.84,0.84,0.84,0.37,0.37,0.37",20,,
br,conjunto saída de praia,,,,,,140,18,0.15,1.00,38100000,"Informational, Commercial","Related Searches, Short Videos, Image Pack, Site Links, Video, Image, Popular Products","0.28,0.21,0.21,0.53,0.53,0.53,0.81,1.00,0.81,0.43,0.34,0.34",20,,
br,cropped de praia,,,,,,70,0,0.15,0.98,,,,"0.14,0.19,0.23,0.19,0.23,0.23,0.52,0.66,0.52,0.19,0.19,0.09",,,
br,diferença entre beachwear e surfwear,,,,,,,,,,,,,,,,
br,diferença entre neoprene e lycra,,,,,,,,,,,,,,,,
br,diferença entre rash guard e lycra,,,,,,,,,,,,,,,,
br,equipamento de surf iniciante,,,,,,,,,,,,,,,,
br,espessura de neoprene surf,,,,,,,,,,,,,,,,
br,kaftan de praia,,,,,,30,0,0.20,0.93,,,,"0.40,0.40,0.40,0.40,0.40,0.60,0.80,1.00,1.00,0.40,0.40,0.40",,,
br,loja de surf,,,,,,2400,50,0.11,1.00,12900000,Commercial,"Related Searches, Local Pack, Site Links, Video, Image","0.35,0.35,0.35,0.35,0.29,0.35,0.44,0.81,0.66,0.35,0.53,0.24",20,,
br,loja de surf online,,,,,,70,0,0.21,1.00,,,,"0.19,0.34,0.26,0.26,0.19,0.26,0.26,0.42,0.19,0.19,0.19,0.19",,,
br,loja de surfwear,,,,,,140,0,0.14,0.97,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00",,,
br,loja use zero hora,,,,,,,,,,,,,,,,
br,long john neoprene,,,,,,20,0,0.10,1.00,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
br,long john surf,,,,,,110,8,0.12,1.00,191,Commercial,"Site Links, Reviews, Video, People Also Ask, Popular Products, Related Searches, Short Videos, Image Pack","0.52,0.66,0.66,0.52,0.52,0.42,0.52,0.42,0.42,0.42,0.52,0.80",20,,
br,look de praia feminino,,,,,,390,30,0.13,1.00,178,Informational,"Image Pack, Site Links, Video, Image, People Also Ask, Popular Products, Related Searches, Short Videos","0.05,0.11,0.20,0.20,0.25,0.25,0.13,0.31,0.46,0.25,0.16,0.20",20,,
br,luva de neoprene surf,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,lycra de praia,,,,,,20,0,0.00,0.92,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
br,lycra de surf,,,,,,140,8,0.08,1.00,176,Commercial,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.52,0.52,0.42,0.52,0.52,0.52,0.52,1.00,1.00,0.42,0.52,0.66",20,,
br,lycra de surf pode usar na piscina,,,,,,,,,,,,,,,,
br,lycra de surf preço,,,,,,,,,,,,,,,,
br,lycra infantil praia,,,,,,,,,,,,,,,,
br,lycra manga curta surf,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,lycra manga longa infantil,,,,,,,,,,,,,,,,
br,lycra manga longa surf,,,,,,30,0,0.13,1.00,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.21,0.14,0.14,0.14",,,
br,lycra para natação,,,,,,0,0,0.00,0.00,,,,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,lycra para surf,,,,,,50,0,0.11,1.00,,,,"0.02,0.01,0.02,0.03,0.02,0.02,0.03,0.04,0.02,0.01,0.01,0.03",,,
br,lycra surf,,,,,,880,9,0.10,1.00,166,Commercial,"Site Links, Video, Image, Popular Products, Related Searches, Short Videos, Image Pack","0.24,0.20,0.20,0.24,0.20,0.24,0.44,0.44,0.55,0.30,0.34,0.34",20,,
br,lycra surf feminina,,,,,,170,7,0.12,1.00,168,"Informational, Commercial","Image Pack, Site Links, Image, Popular Products, Related Searches","0.35,0.29,0.29,0.18,0.29,0.35,0.35,0.54,0.54,0.35,0.43,0.43",20,,
br,lycra surf infantil,,,,,,20,0,0.11,1.00,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.21,0.21,0.14,0.14,0.14",,,
br,lycra surf masculina,,,,,,260,7,0.09,1.00,197,Commercial,"Site Links, Popular Products, Related Searches, Image Pack","0.36,0.36,0.23,0.29,0.23,0.29,0.36,0.54,0.44,0.36,0.36,0.36",20,,
br,lycra surf tamanho,,,,,,,,,,,,,,,,
br,lycra uv infantil,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,macacão de praia,,,,,,170,11,0.20,0.99,222,Informational,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches","0.18,0.15,0.28,0.28,0.35,0.35,0.23,0.44,0.54,0.28,0.18,0.18",20,,
br,macaquinho de neoprene,,,,,,20,0,0.05,1.00,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
br,macaquinho de surf,,,,,,40,0,0.10,0.96,,,,"0.18,0.18,0.18,0.18,0.18,1.00,0.36,0.27,1.00,0.18,0.27,0.27",,,
br,macaquinho para surfar,,,,,,,,,,,,,,,,
br,macaquinho praia,,,,,,260,10,0.15,1.00,172,"Informational, Commercial","Site Links, Video, Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack","0.23,0.18,0.35,0.35,0.44,0.54,0.66,1.00,0.81,0.44,0.28,0.35",20,,
br,maio cavado,,,,,,2900,27,0.14,1.00,600000,Commercial,"Image Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.19,0.16,0.13,0.36,0.24,0.29,0.24,0.44,0.44,0.24,0.24,0.16",20,,
br,maio com bojo,,,,,,2400,21,0.13,1.00,1650000,Informational,"Video, Image, Related Searches, Image Pack, Site Links","0.06,0.06,0.08,0.12,0.12,0.19,0.24,0.19,0.24,0.10,0.05,0.05",20,,
br,maio com bojo removível,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,maio com proteção solar,,,,,,30,0,0.20,1.00,,,,"0.07,0.07,0.11,0.07,0.07,0.07,0.07,0.34,0.42,0.07,0.07,0.07",,,
br,maio com proteção uv,,,,,,260,10,0.13,1.00,202,Informational,"Image Pack, Site Links, Video, Image, Popular Products, Related Searches","0.07,0.11,0.14,0.17,0.21,0.26,0.39,0.39,0.48,0.17,0.14,0.14",20,,
br,maio com ziper,,,,,,170,10,0.15,1.00,208,Informational,"Image Pack, Site Links, Video, Image, Popular Products, Related Searches","0.35,0.35,0.43,0.28,0.53,0.53,0.53,0.53,0.82,0.53,0.43,0.43",20,,
br,maio com ziper frontal,,,,,,30,0,0.12,1.00,,,,"0.10,0.07,0.12,0.12,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",,,
br,maio de banho feminino,,,,,,170,24,0.14,1.00,192,Commercial,"Popular Products, Related Searches, Site Links, Video, People Also Ask","0.35,0.35,0.54,0.35,0.35,0.54,0.54,0.43,0.43,0.29,0.18,0.22",20,,
br,maio de competição surf,,,,,,,,,,,,,,,,
br,maio de praia,,,,,,18100,27,0.15,1.00,195,Commercial,"Video, Image, Popular Products, Related Searches, Short Videos, Site Links","0.13,0.08,0.10,0.13,0.20,0.36,0.66,0.81,0.81,0.36,0.36,0.29",20,,
br,maio de surf,,,,,,390,10,0.14,1.00,175,Commercial,"Video, Image, Popular Products, Related Searches, Image Pack, Site Links","0.07,0.11,0.20,0.20,0.13,0.25,0.31,0.16,0.46,0.08,0.13,0.20",20,,
br,maio de surf barato,,,,,,,,,,,,,,,,
br,maio de surf com forro,,,,,,,,,,,,,,,,
br,maio de surf feminino,,,,,,140,13,0.10,1.00,170,Commercial,"Video, Popular Products, Related Searches, Site Links","0.08,0.11,0.35,0.35,0.11,0.15,0.23,0.23,0.66,0.28,0.23,0.08",20,,
br,maio de surf infantil,,,,,,20,0,0.00,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
br,maio de surf nacional,,,,,,,,,,,,,,,,
br,maio de surf preço,,,,,,,,,,,,,,,,
br,maio de surf tamanho grande,,,,,,,,,,,,,,,,
br,maio de surfe,,,,,,20,0,0.11,0.93,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
br,maio esportivo,,,,,,170,18,0.10,1.00,202,Commercial,"Image Pack, Site Links, Video, Popular Products, Related Searches","0.22,0.14,0.35,0.43,0.22,0.18,0.43,0.35,0.81,0.43,0.35,0.22",20,,
br,maio esportivo feminino,,,,,,110,18,0.10,1.00,189,"Informational, Commercial","Image Pack, Site Links, Video, Popular Products, Related Searches","0.26,0.26,0.34,0.65,0.65,0.65,0.42,0.34,0.42,0.19,0.34,0.34",20,,
br,maio esportivo natação,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,maio feminino,,,,,,12100,25,0.12,1.00,199,Commercial,"Popular Products, Related Searches, Site Links, Video","0.20,0.20,0.20,0.24,0.36,0.44,0.44,0.54,0.36,0.29,0.16,0.20",20,,
br,maio feminino esportivo,,,,,,,,,,,,,,,,
br,maio fitness,,,,,,20,0,0.22,1.00,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
br,maio frente única,,,,,,20,0,0.15,1.00,,,,"0.14,0.00,0.57,0.28,0.28,0.28,0.42,0.71,0.42,0.14,0.14,0.28",,,
br,maio gola alta,,,,,,110,2,0.20,1.00,175,"Informational, Commercial","Site Links, Video, Popular Products, Related Searches, Image Pack","0.17,0.12,0.23,0.17,0.28,0.35,0.35,0.43,0.53,0.23,0.23,0.23",20,,
br,maio infantil surf,,,,,,,,,,,,,,,,
br,maio manga longa,,,,,,1900,12,0.16,1.00,178,Commercial,"Image Pack, Site Links, Video, Popular Products, Related Searches","0.16,0.16,0.24,0.16,0.19,0.16,0.29,0.29,0.29,0.16,0.13,0.16",20,,
br,maio manga longa proteção uv,,,,,,140,21,0.11,1.00,208,Commercial,"Related Searches, Image Pack, Site Links, Reviews, Video, People Also Ask, Popular Products","0.08,0.08,0.05,0.10,0.10,0.06,0.16,0.24,0.20,0.10,0.03,0.06",20,,
br,maio manga longa surf,,,,,,110,17,0.13,1.00,71900,"Informational, Commercial","Image Pack, Video, Image, Popular Products, Related Searches","0.18,0.18,0.22,0.18,0.18,0.18,0.29,0.22,0.29,0.14,0.18,0.14",90,,
br,maio natação feminino,,,,,,5400,24,0.08,1.00,198,Commercial,"Video Carousel, People Also Ask, Popular Products, Related Searches, Short Videos, Image Pack, Site Links, Video","0.44,0.44,0.36,0.44,0.66,0.54,0.44,0.44,0.81,0.54,0.66,0.54",20,,
br,maio ou biquini para surfar,,,,,,,,,,,,,,,,
br,maio para academia,,,,,,20,0,0.10,1.00,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
br,maio para hidroginastica,,,,,,1600,24,0.09,1.00,114000,Commercial,"Image, Related Searches, Short Videos, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products","0.36,0.24,0.13,0.36,0.36,0.54,0.43,0.00,0.04,0.02,0.04,0.36",20,,
br,maio para kitesurf,,,,,,20,0,0.20,1.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
br,maio para natação,,,,,,1600,19,0.10,1.00,7650000,Commercial,"Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links, Video","0.53,0.24,0.44,0.16,0.16,0.44,0.24,0.16,0.44,0.13,0.16,0.18",20,,
br,maio para praia esportivo,,,,,,,,,,,,,,,,
br,maio para stand up paddle,,,,,,,,,,,,,,,,
br,maio para sup,,,,,,,,,,,,,,,,
br,maio para surf,,,,,,590,22,0.14,1.00,188,"Informational, Commercial","Popular Products, Related Searches, Short Videos, Image Pack, Site Links, Video, Video Carousel","0.25,0.11,0.16,0.37,0.37,0.37,0.37,0.68,0.68,0.31,0.31,0.37",20,,
br,maio para surfar,,,,,,210,24,0.15,1.00,215,Commercial,"Video, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.00,0.00,0.24,0.00,0.30,0.55,0.00,0.00,0.36,0.00,0.00,0.45",20,,
br,maio preto surf,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,maio proteção uv50,,,,,,,,,,,,,,,,
br,maio que não marca,,,,,,,,,,,,,,,,
br,maio que não sai no surf,,,,,,,,,,,,,,,,
br,maio surf,,,,,,720,15,0.15,1.00,211,Informational,"Site Links, Video, Video Carousel, Popular Products, Related Searches, Short Videos, Image Pack","0.16,0.13,0.24,0.20,0.30,0.30,0.30,0.41,0.54,0.30,0.30,0.36",20,,
br,maio surf alta compressão,,,,,,,,,,,,,,,,
br,maio surf colorido,,,,,,,,,,,,,,,,
br,maio surf com manga,,,,,,,,,,,,,,,,
br,maio surf estampado,,,,,,,,,,,,,,,,
br,maio surf feminino,,,,,,590,21,0.13,1.00,189,Commercial,"Popular Products, Related Searches, Image Pack, Site Links, Video","0.16,0.10,0.13,0.20,0.16,0.20,0.24,0.41,0.54,0.07,0.24,0.24",20,,
br,maio surf manga curta,,,,,,20,0,0.11,1.00,,,,"0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02",,,
br,maio surf preto,,,,,,,,,,,,,,,,
br,maio surfista,,,,,,110,13,0.15,1.00,207,Commercial,"Related Searches, Image Pack, Site Links, Video, Image, Video Carousel, Popular Products","0.05,0.05,0.03,0.02,0.02,0.02,0.03,0.05,0.07,0.03,0.03,0.03",20,,
br,maio surfista feminino,,,,,,320,20,0.13,1.00,201,Commercial,"Video, Image, Popular Products, Related Searches, Image Pack, Site Links","0.29,0.19,0.23,0.23,0.36,0.29,0.54,0.81,0.67,0.29,0.44,0.36",20,,
br,maio uv50,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,maio ziper frontal surf,,,,,,,,,,,,,,,,
br,maiô de surf,,,,,,260,21,0.13,1.00,177,Commercial,"Image, Video Carousel, Popular Products, Related Searches, Short Videos, Image Pack, Site Links, Video","0.13,0.08,0.11,0.11,0.13,0.16,0.31,0.16,0.46,0.11,0.11,0.20",20,,
br,maiô de surf feminino,,,,,,170,19,0.10,1.00,211,Commercial,"Image Pack, Site Links, Video, Popular Products, Related Searches","0.11,0.15,0.35,0.28,0.23,0.23,0.28,0.28,0.54,0.28,0.23,0.15",20,,
br,maiô de surfista feminino,,,,,,170,21,0.12,1.00,96800,Commercial,"Related Searches, Image Pack, Site Links, Video, Image, Video Carousel, Popular Products","0.17,0.23,0.53,0.43,0.28,0.23,0.35,0.43,0.82,0.23,0.35,0.17",20,,
br,maiô gola alta,,,,,,170,14,0.20,1.00,196,"Informational, Commercial","Image, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video","0.23,0.23,0.35,0.28,0.53,0.43,0.43,0.43,0.53,0.43,0.43,0.35",20,,
br,maiô manga longa,,,,,,1300,11,0.18,1.00,761000,"Informational, Commercial","Image Pack, Site Links, Video, Image, Related Searches","0.29,0.36,0.22,0.16,0.29,0.22,0.29,0.36,0.29,0.36,0.29,0.13",20,,
br,maiô para surf,,,,,,70,0,0.14,1.00,,,,"0.08,0.11,0.23,0.00,0.01,0.00,0.00,0.00,0.05,1.00,0.00,0.00",,,
br,maiô para surfar,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,maiô surf,,,,,,390,20,0.14,1.00,176,"Informational, Commercial","Related Searches, Image Pack, Site Links, Video, Video Carousel, Popular Products","0.24,0.10,0.45,0.04,0.24,0.30,0.06,0.81,0.81,0.24,0.04,0.45",20,,
br,maiô surf feminino,,,,,,140,0,0.13,1.00,,,,"0.01,0.00,0.01,0.01,0.02,0.01,0.08,0.05,0.04,0.13,0.16,0.20",,,
br,maiô surfista,,,,,,50,0,0.14,1.00,,,,"0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.04,0.06,0.03,0.03,0.03",,,
br,marca de surf brasileira,,,,,,30,0,0.18,0.55,,,,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.17,0.05,0.11,0.05",,,
br,marca use zero hora,,,,,,,,,,,,,,,,
br,marcas brasileiras de moda praia,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",,,
br,marcas de surfwear,,,,,,140,10,0.13,1.00,154,Informational,"Site Links, Video, People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack","0.67,0.01,0.30,0.01,0.01,0.02,0.02,0.02,1.00,0.02,0.01,0.01",20,,
br,melhor bermuda para surfar,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,melhor lycra para surf,,,,,,,,,,,,,,,,
br,melhor maio para surfar,,,,,,,,,,,,,,,,
br,melhor poncho de surf,,,,,,,,,,,,,,,,
br,melhor roupa de neoprene,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,melhor tecido para roupa de praia,,,,,,,,,,,,,,,,
br,melhores marcas de surfwear do brasil,,,,,,,,,,,,,,,,
br,melhores praias para surfar no brasil,,,,,,90,11,0.09,0.07,590000,Commercial,"Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links","0.34,0.15,0.53,0.42,0.26,0.42,0.26,0.34,0.42,0.19,0.19,0.19",20,,
br,mini saia transparente,,,,,,140,23,0.06,0.87,182,Commercial,"Site Links, Video, Popular Products","0.65,0.80,0.53,0.42,0.65,0.53,0.34,0.42,0.42,0.42,0.42,0.42",20,,
br,moda praia 2026,,,,,,880,18,0.14,1.00,80800000,Informational,"Image Pack, Video, Image, Video Carousel, People Also Ask, Related Searches, Short Videos","0.02,0.02,0.08,0.16,0.24,0.35,0.35,0.53,1.00,0.29,0.24,0.24",90,,
br,moda praia brasileira,,,,,,20,0,0.24,0.89,,,,"0.40,0.40,0.40,0.20,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40",,,
br,moda praia esportiva,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,moda praia feminina,,,,,,2400,49,0.18,1.00,16100000,Commercial,"Site Links, Video, People Also Ask, Popular Products, Related Searches, Local Pack, Image Pack","0.18,0.18,0.29,0.44,0.53,0.53,0.81,1.00,0.81,0.44,0.44,0.53",20,,
br,moda praia masculina,,,,,,1900,29,0.17,1.00,9340000,Commercial,"Local Pack, Site Links, Video, Image, Popular Products, Related Searches","0.15,0.15,0.28,0.19,0.36,0.43,0.36,0.36,0.36,0.24,0.28,0.19",20,,
br,moda praia surf,,,,,,20,0,0.00,1.00,,,,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",,,
br,moda resort feminina,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,neoprene 2mm,,,,,,40,0,0.10,1.00,,,,"0.19,0.19,0.19,0.26,0.15,0.11,0.11,0.07,0.07,0.07,0.07,0.19",,,
br,neoprene 3mm,,,,,,110,19,0.18,1.00,188,"Informational, Commercial","Image, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video","0.64,0.82,0.52,0.64,0.52,0.52,0.52,0.64,0.52,0.64,0.82,1.00",20,,
br,neoprene inverno surf,,,,,,,,,,,,,,,,
br,neoprene nacional,,,,,,,,,,,,,,,,
br,neoprene para kitesurf,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,neoprene para pesca,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,neoprene para stand up paddle,,,,,,,,,,,,,,,,
br,neoprene surf 3 2,,,,,,,,,,,,,,,,
br,o que levar para o surf,,,,,,,,,,,,,,,,
br,o que significa fps na roupa,,,,,,,,,,,,,,,,
br,o que significa uv50,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,o que usar embaixo da lycra de surf,,,,,,,,,,,,,,,,
br,o que usar embaixo do maio de surf,,,,,,,,,,,,,,,,
br,o que vestir na praia,,,,,,40,0,0.10,1.00,,,,"0.09,0.09,0.19,0.09,0.14,0.19,0.09,0.66,0.52,0.09,0.09,0.09",,,
br,o que vestir para surfar,,,,,,,,,,,,,,,,
br,o que é beachwear,,,,,,20,0,0.00,0.13,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,,
br,o que é lycra de surf,,,,,,,,,,,,,,,,
br,o que é poncho de surf,,,,,,,,,,,,,,,,
br,o que é rash guard,,,,,,260,5,0.07,0.48,177,Informational,"Video, Image, Popular Products, Related Searches, Short Videos, Video Carousel, People Also Ask, AI Overview, Site Links","0.53,0.43,1.00,0.82,1.00,1.00,1.00,0.82,0.82,0.28,0.82,0.82",20,,
br,o que é tecido com proteção uv,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,o que é uv50,,,,,,,,,,,,,,,,
br,onde comprar lycra de surf,,,,,,,,,,,,,,,,
br,onde comprar poncho de surf,,,,,,,,,,,,,,,,
br,onde comprar roupa de surf,,,,,,,,,,,,,,,,
br,para que serve a lycra de surf,,,,,,,,,,,,,,,,
br,para que serve poncho de surf,,,,,,,,,,,,,,,,
br,pareô de praia,,,,,,50,0,0.18,1.00,,,,"0.01,0.00,0.01,0.01,0.05,0.04,0.02,0.04,0.05,0.39,0.01,0.01",,,
br,poncho atoalhado,,,,,,170,11,0.10,1.00,194,Commercial,"Image Pack, Site Links, Video, Image, People Also Ask, Popular Products, Related Searches","0.43,0.35,0.28,0.35,0.43,0.66,0.43,0.35,0.43,0.43,0.43,0.43",20,,
br,poncho atoalhado feminino,,,,,,40,0,0.14,1.00,,,,"0.63,0.63,0.36,0.45,0.45,0.36,0.18,0.18,0.18,0.18,0.18,0.27",,,
br,poncho atoalhado infantil,,,,,,210,11,0.12,1.00,224,Informational,"Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Image","0.18,0.18,0.23,0.23,0.28,0.54,0.44,0.44,0.44,0.28,0.18,0.28",20,,
br,poncho atoalhado masculino,,,,,,,,,,,,,,,,
br,poncho de algodão praia,,,,,,,,,,,,,,,,
br,poncho de banho infantil,,,,,,30,0,0.00,1.00,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.28,0.28,0.35,0.14,0.14,0.14",,,
br,poncho de natação infantil,,,,,,20,0,0.06,1.00,,,,"0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09",,,
br,poncho de praia,,,,,,50,0,0.07,1.00,,,,"0.05,0.10,0.05,0.07,0.05,0.12,0.12,0.35,0.28,0.10,0.07,0.05",,,
br,poncho de surf,,,,,,170,7,0.11,0.99,181,"Informational, Commercial","Reviews, Video, Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.10,0.15,0.12,0.10,0.07,0.07,0.10,1.00,0.19,0.12,0.15,0.15",20,,
br,poncho de surf barato,,,,,,,,,,,,,,,,
br,poncho de surf como usar,,,,,,,,,,,,,,,,
br,poncho de surf estampado,,,,,,,,,,,,,,,,
br,poncho de surf feminino,,,,,,10,0,0.11,1.00,,,,"0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.50",,,
br,poncho de surf grande,,,,,,,,,,,,,,,,
br,poncho de surf infantil,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,poncho de surf masculino,,,,,,20,0,0.07,1.00,,,,"0.28,0.28,0.28,0.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,,
br,poncho de surf ou toalha,,,,,,,,,,,,,,,,
br,poncho de surf preço,,,,,,,,,,,,,,,,
br,poncho de surf tamanho,,,,,,,,,,,,,,,,
br,poncho de surf vale a pena,,,,,,,,,,,,,,,,
br,poncho de trocar roupa,,,,,,,,,,,,,,,,
br,poncho felpudo praia,,,,,,,,,,,,,,,,
